Close,Short_MA,Long_MA,EMA_50,EMA_200,RSI_14,MACD,ADX_14,stochastic_oscillator,Signal
927.25,,,10.77472601303691,2.697078372060721,77.61447289609734,22.416370458505984,,-647.0834051055913,Hold
936.1749877929688,,,21.8753126734187,5.433703992141675,77.61447289609734,46.497390424574455,,-638.6873715276581,Hold
926.3250122070312,,,33.09031180697612,8.155465631768145,77.61447289609734,71.6711195850703,,-647.9535719617368,Hold
929.9500122070312,,,44.578662744663376,10.901482871937544,77.61447289609734,98.05886314908729,,-644.5434136034268,Hold
931.7999877929688,,,56.32537546975403,13.666714919571461,77.61447289609734,125.36802035952655,,-642.8030798911358,Hold
930.2999877929688,,,68.29684983362982,16.441514550022553,77.61447289609734,153.18415306415267,,-644.2141799014711,Hold
931.8499755859375,,,80.53316105901723,19.23480141701936,77.61447289609734,181.1458937190202,,-642.756054707686,Hold
932.0999755859375,,,93.0246635365593,22.042887399776188,77.61447289609734,208.67740266688864,,-642.52087137263,Hold
936.2750244140625,,,105.82222816737323,24.877263784396938,77.61447289609734,235.19174231638428,,-638.5932637429519,Hold
932.6500244140625,,,118.84152804117987,27.715375129194715,77.61447289609734,264.3868005157474,,-642.003422101262,Hold
948.875,,,132.31779330893522,30.614977580693164,77.61447289609734,297.0518755279416,,-626.7400466232588,Hold
950.0750122070312,,,146.08585421997088,33.53267802817315,77.61447289609734,333.10700252826354,,-625.6111551314293,Hold
945.25,,,160.08171565825063,36.451042745750485,77.61447289609734,248.37197869477052,,-630.1502049815689,Hold
967.1500244140625,,,174.62062163764935,39.44780979894304,77.61447289609734,164.83268199165832,,-609.5481218635523,Hold
976.0999755859375,,,189.56328757771277,42.48570647423768,79.81413108803757,86.16729659876995,,-601.1286044027975,Hold
981.6749877929688,,,204.87882104853963,45.55512333823171,81.0624391000263,12.314698774869669,,-595.8840045474902,Hold
975.6500244140625,,,220.44011704109397,48.622478504910845,75.61987518641075,-54.630658874469646,,-601.5518884716529,Hold
978.8250122070312,,,236.35914688259487,51.71452134992892,76.51472837485734,-111.42994239114569,,-598.5650716000046,Hold
987.4749755859375,,,252.70690596471206,54.84730122477647,78.79796206837025,-155.31125104506987,,-590.4277626577554,Hold
999.8250122070312,951.2787506103516,,269.53522892998996,58.03178570171189,81.5551621285347,-182.29543467004356,,-578.8096714553118,Hold
997.75,954.8037506103517,,286.6864036369814,61.2262773304181,79.68026039437667,-188.9251108019323,,-580.7617046198368,Hold
1002.8499755859375,958.1375,,304.2504605742432,64.45169630561274,80.84579029069332,-195.13787981129354,,-575.9639875518195,Hold
995.5750122070312,961.6,,322.09211460698987,67.6722036301494,74.29890002618987,-204.03195533746236,,-582.8077881512614,Hold
974.0,963.8024993896486,,340.05092136921405,70.84618021954859,59.03146349915652,-213.7103354528199,,-603.1041214501441,Hold
956.9249877929688,965.0587493896485,,358.1815866895744,73.98648074603976,50.23367794303545,-223.32598783827922,,-619.1671547180212,Hold
948.4000244140625,965.9637512207032,,376.58700623364086,77.1178049579443,46.50698040186396,-236.31704039927354,,-627.1868719927423,Hold
936.4000244140625,966.1912536621095,,395.23246460916636,80.22999984696372,41.80548667584651,-196.23057557182244,67.58074588649154,-638.4756720754241,Sell
940.4749755859375,966.6100036621094,,414.3097032339384,83.36972601683384,43.88020729419796,-158.45917209581495,63.458152636897104,-634.6422296482585,Sell
924.75,966.0337524414062,,433.5975476025155,86.47953040953466,38.217863420869456,-123.55027901117785,60.371157310169025,-649.43523845615,Sell
938.3250122070312,966.3175018310546,,453.440808367175,89.64448672744962,44.835762252258284,-91.95850536572352,57.300778671416595,-636.6647718790551,Sell
941.5750122070312,965.9525024414063,,473.73095946688915,92.83484060302142,46.31831832652618,-65.35817180806902,53.83259940581092,-633.6073885233288,Sell
940.9500122070312,965.4962524414062,,494.432186973726,96.03944882813875,46.06194248702663,-45.84214996060798,50.431243797906895,-634.1953468609686,Sell
939.2999877929688,965.1987518310548,,515.5410555194511,99.25540173960997,45.348300547599024,-32.49545671454353,47.39399066835058,-635.7475798394598,Sell
939.0999755859375,963.7962493896484,,537.0828190477579,102.48697411846507,45.25676864847392,-27.440534991655465,45.65763307593822,-635.9357379910658,Sell
931.5999755859375,961.5712493896484,,558.9815764194715,105.7130112854173,41.84598119151459,-30.960827021084807,43.71849033007014,-642.9912380427419,Sell
928.7000122070312,958.9225006103516,,581.2981409017366,108.9468654138672,40.57270956609958,-31.918898528964426,42.392350559677084,-645.719330278706,Sell
926.5999755859375,956.4699981689453,,604.0504219909039,112.19090261902949,39.632260695113615,-29.658646384405763,41.30261867177261,-647.6949047438592,Sell
940.2750244140625,954.5424987792969,,627.4307110907041,115.49105895885175,48.073010426571074,-25.84811561077688,41.04617934829925,-634.830330382058,Sell
955.7750244140625,952.9575012207032,,651.4731624579422,118.85292535728567,55.64345401513937,-20.286055107240273,40.72705109544541,-620.2489636085943,Sell
951.2750244140625,950.5300018310547,,675.9590266967689,122.2186389911436,53.21768384973595,-14.201144487002425,41.98642445627214,-624.4822636395999,Sell
942.0999755859375,947.7475006103517,,700.8431215442054,125.57462099648495,48.56855770188326,-6.34299374257149,42.11001272423745,-633.1135379703953,Sell
937.1749877929688,944.4637512207033,,726.1830437332792,128.93318443730223,46.233725323524204,-0.8709362211039959,40.19944022103745,-637.7466381874347,Sell
934.9749755859375,941.4337493896485,,752.0198558907172,132.30226841449772,45.1886808343541,2.534183434924227,38.20345965047951,-639.8162630194876,Sell
